timestamp_TW,uuid,ucid,upid,problem_number,exercise_problem_repeat_session,is_correct,total_sec_taken,total_attempt_cnt,used_hint_cnt,points,badges_cnt,is_self_coach,has_student_cnt,belongs_to_class_cnt,difficulty,learning_stage,cheating
2019-05-23 11:45:00+00:00,MlJ4huAZ055iZHo2BJRhGoCRSYYDeIBv7uGFhaqNYCo=,w3a6Wk12CqIrUktZei2Z0W3Rf8xdgEdjIW9QX0MWIf8=,Q5jLvHRQpMUYKZZ6GbotWYCMvkMPq1+yCtpCzTrZW1A=,2,1,TRUE,29,1,0,28444,7,FALSE,0,1,easy,elementary,0
2019-06-10 21:15:00+00:00,2pM78+2wOAY8l2evtpJS8Q80s14QI3fjcRZb9QFBVn4=,4MP++M0mzDth2XpfseRILPjwOXOAk+Z2oAquU+nEEYE=,G4w1QQMbjRT/VptQIZkGYZhO/nkDJiC5ELv+TYfyPHM=,7,1,FALSE,69,19,3,305999,99,FALSE,0,1,hard,elementary,0
2019-06-04 16:15:00+00:00,MJPbRkeq6tFmKeTew2v3sxqobPk6QIJZRgC/dsS1Isc=,K1JDDj+chCE/ZH5wzdraQHI2j52Nzy0JBJmeLOgq3vc=,9c2hrY//vjfzCDODz8sOIragypxFG49b/t9S91Krlkg=,14,1,FALSE,49,4,2,71162,28,FALSE,0,0,easy,junior,0
2019-05-15 11:30:00+00:00,qo5D63J1RjT9YPTJsFbKo9GAamD5iF6XMdpGMPaE9g4=,Y+91ladMQTxor3mEVlnYFcmpwmJFyT1HMG+DNySbVZ4=,ZoE4lwjhMFd9OaWebsWlnK9s1AHSSpuSx8gO7gcplTA=,47,2,TRUE,9,1,0,47540,13,FALSE,0,0,normal,junior,0
2019-06-09 10:15:00+00:00,uiyyJRVzplrZoBci1aco8pUxwLFge0tPVNhpYJRoqmc=,bL9LCeyWY9s37YHGGaajw9y6AvwkTvCxHwEL9prznXk=,v4fB2VzIvLxBidz/bupuh6clyMuvR2b8BgSz6PA5UI4=,1,1,FALSE,56,2,2,1100969,105,FALSE,0,1,easy,elementary,0
2019-05-22 21:15:00+00:00,2Wg1t0IsyR7GzeHQ5LcL+pCbWX4jguSAeksrCijmvLA=,C2AT0OBTUn+PRxEVd39enhW/DJtka1Tk90DUAR6yVdA=,lI3x0MPzLyctW6jD/W+UTYtytXi2qEq59Ika4QZ9rNY=,3,1,TRUE,37,1,0,322819,20,FALSE,0,2,easy,elementary,0
2019-06-11 21:00:00+00:00,ffZxj1ZHGLfJnoqZpdTvSfNe6YI+sXe0cyU5uK4GFOs=,CzDZ1MLXzGdIvkP/kEE92OzFgbVyBwoUvtEx8YXAzUQ=,o5WJBZIAxmY7dLbJ8I3wlz6Iu2Ueordp3BRv+xrOtcA=,7,1,TRUE,9,1,0,179065,20,FALSE,0,0,easy,elementary,1
2019-05-06 16:45:00+00:00,RVQdihUK/Cqepz6vYp3/DOGgktAejIoOJhw2ZkJ9xK0=,oAoQyh9NT0lXlshN6sYYNSMTizpgCVqITEKcEthrDZU=,sdzc6gVUT/bC7z8oBJ1BjqToyj6OnMZE53La1pyvbBs=,7,1,TRUE,3,1,0,55136,3,FALSE,0,0,easy,junior,1
2019-05-28 07:15:00+00:00,iPh36BUG1V+QWENjxnjhJoetu/5Pw9mrZyMe0S/Io+0=,iWYmMDS9CSVGUTFmETeO+1hSj89Z4w5RGwP5H9Zv3SQ=,/G4r+QtuUijUWn+nkUD9G2HlpH+cwtECHwMakjwiB34=,7,1,TRUE,11,1,0,217364,37,FALSE,0,1,easy,elementary,1
2019-06-11 14:00:00+00:00,IrvM5uAIDNtnwzjQm7Vi9iRRG/MU2GjidMeZWWaW1QM=,fggka57OX3QL3I441EmW3Bn5qGYLMEDYYAJ0whO/BoY=,htLFPJZ5aOe04q8Mb2k+LAMTd8qA+xJhoLgx7N8GqMw=,3,1,FALSE,218,5,3,10020,1,FALSE,0,0,normal,elementary,0
2019-05-01 16:45:00+00:00,c8NsPS2nYhWNjtWGjbMiEeyN+kA9n+z2dVBZXSA5xJs=,8k9UdKViQ2bczWr7yGZpegN088XEN6uGJi0UI+kr5vU=,Y+rGXa90M//BK8MR32uIR7mMEWSS/q7ek3ImV/cULaM=,4,1,TRUE,32,1,0,425595,102,FALSE,0,1,easy,elementary,0
2019-06-07 21:00:00+00:00,6btlAmyPyQmHbHysyEuJvN9A25nZQ7eNQs46sjnfg8g=,tOR47i7wGbuHkGxkhX9tHItMHHuJtAttsvHDOjDRVOw=,oEh/A21zVyVcn4eNOKCpKMUJK4kt8lVS1ogSxjFPNsI=,1,1,FALSE,22,2,0,286684,47,FALSE,0,1,easy,junior,0
2019-06-04 16:30:00+00:00,KOEkI7nvyuqgT6o4++Iu0BRgq4bo1stMY2JM+qb6Wxo=,54iaIjJ463HXFF9nhiwi/1eQIB9mSIwg4hA695/iDZk=,p8hVyHqH5qptBbG8maL6JBKOjBigrAPsFpUUSVHOFZ8=,27,2,FALSE,26,3,1,257750,45,FALSE,0,2,normal,elementary,0
2019-06-10 13:00:00+00:00,PQ/0kcgFcVrqATy/LNYVZl6Fk5RSLC2jwFfXA8utgwI=,kaswy5Iwfp5d3/3ST/V5AU2yqxKhaFF+OP11w7VeMK4=,oLYZlZQHzBG7pLAUTAP64RvdH8PCS/GDvim0om51R7U=,15,1,FALSE,50,2,2,308086,72,FALSE,0,1,easy,elementary,0
2019-05-02 15:00:00+00:00,m/d+Fjo8ec7ZVfQkjFghTaQ+AJjXQ3Rubv5dR5li8WU=,dVKfHzCsi1dOBhd343bsUNF4dowsiANnvRBkWqToitg=,k22PWvvaWYKjxfg4XeQObWZTTFT8BFkjSGhJPkIWoBs=,39,3,TRUE,23,1,0,193256,23,FALSE,0,1,normal,elementary,0
2019-05-09 16:15:00+00:00,TvLFE5DrMxV91vRnPfJO+F04T0vf/kB2CtJLPx4BgjY=,OnztoLe/KRAGCzT1fhys2SSvoBd4VIDTcFpP5fMpU68=,raIWyzO58Pb7tUellZ5JjaJZWZb1NlWLfniHl5o7n2c=,15,2,TRUE,9,1,0,41251,11,FALSE,0,1,easy,junior,1
2019-06-08 13:15:00+00:00,8jGulFzSXRBu+ww9GvFDc3Ns6J+uudvoeKpFBePKm1w=,5HHrsQn5qiyLxLdipqrxulXA40DVSUGJ5ciQw/cHxHs=,B0+lYZDuzTNhMm6ayDJsfmTfFQg5q5J3Qv5uH49+/34=,20,2,TRUE,24,1,0,673181,81,FALSE,0,1,hard,junior,1
2019-06-01 21:45:00+00:00,Jnp2lMW2UEA5d9AnbcMUrP6A9CoMDiK0O4POJas/Qpw=,T+rWMKiJgE6rmRdVUFc0WOeDY0RVPhl0EYU/hS4dlSc=,LFr9mSL0XjMQstijWHjV1XPG9wPhh2bYTBlIW1tSPqc=,8,1,FALSE,112,8,6,581463,58,FALSE,5,3,easy,elementary,0
2019-06-06 16:15:00+00:00,SHdOBhzG1Z3rwwqs2mUOvIO6bExPsMlBAz9C2F/gDoQ=,tiLwNbKNBTH/JttT2Z5fA/wezgf65zakDT1fSS4Onjo=,MbLXf5M65vsqL8dMlw8yQeY/ZLyIbBDLDfyrEy+s5VM=,17,1,FALSE,28,3,0,198845,58,FALSE,0,1,easy,junior,0
2019-06-01 09:45:00+00:00,NDzPBdfvTs5EV5vIaLD46rSg2y+SN1VsU0QBymgOJMQ=,mWLymE1Nkn97ABCS6bLlR35/Hk/RnkkXXFmQaVMAFTQ=,wHfw4Ecz8hi4mvVutZYHwKqbcm8j0WEYh/cR1ATRHV4=,20,1,FALSE,9,2,0,1181691,238,FALSE,0,1,easy,elementary,0
2019-06-08 11:15:00+00:00,KNTgQx8ptMCReGlmpQBFkMaEM0oneNEo5jw/BjU453s=,1832ZH2Snk3B6ztlqJVE6Ias3IiPSH5gGZBuYAy7SvI=,d5v+nhOdcyrmD8Butse9bahWvnz4ZblE+jWODSPfTBg=,2,1,TRUE,23,1,0,280193,59,FALSE,0,1,normal,elementary,1
2019-06-10 15:15:00+00:00,QksNZSJbUz/kqfZAf4Y+TjCPswwmRhHuOh0I2Bde6ok=,fS8PvECka4NC8sJQey0IIfKeZ2dwZQsrj2/lhKun3tE=,oKCl6Va3mW390WkX3fqbrW6Z6LCQYWtRgO1tExEHX+4=,7,1,TRUE,16,1,0,408084,53,FALSE,0,2,easy,elementary,1
2019-05-13 17:00:00+00:00,MfyDkFcU8Aquu5qoXqHNeOXtRFEdSVsomJhY2tCC2i8=,Ii1pVHrc3A/M6pPt8oHbceXvm/CskxJAkGhFtt4isDg=,8PwOylrHXHEcMAx62qxKuuPcVM36G+gQe4R+e46Qsc4=,36,1,TRUE,5,1,0,151088,71,FALSE,0,1,easy,junior,1
2019-06-02 20:45:00+00:00,RZ/Q0V4Ornq1HHO9bu3nhLzdsw4Kpnj8j05PWhQON7M=,AftCWTe9HWCQtI7qOgUITUl2eWnLhe6p09IHSLTFB2o=,gGYfLyfXw3JWREKVFecGtd7uvsS58cf7eu/Spt/10wc=,12,1,FALSE,10,3,0,224400,28,FALSE,0,3,easy,elementary,0
2019-06-10 16:45:00+00:00,Mh4ctts2kvFOwUPPlI4amkPX0O43/WxVHW130IMZtqE=,qAtLSVC787ORvbDSF5uaZalBGtpHCkGfy0rXm8xJD/I=,/LUE/21I0XzCPUkWiZTXTXaFJ8GhrHd6PcCEGAsuZDQ=,3,1,FALSE,10,3,0,167264,41,FALSE,0,1,easy,elementary,0
2019-06-06 21:30:00+00:00,KoE07u+YReU4fnUubvbflc6DyH+E34rU6ggGdbyORPk=,CzDZ1MLXzGdIvkP/kEE92OzFgbVyBwoUvtEx8YXAzUQ=,GbOn0L9/wpSMiYHGRBMcpVT5yzJlB4jnTBw+dbGUUZA=,10,1,FALSE,21,2,0,132855,13,FALSE,0,4,easy,elementary,0
2019-06-11 16:30:00+00:00,Tpg7jPOZ8lw9PNP7Z9zxaCmpTq4SRGh0ubtq/2phE14=,tiLwNbKNBTH/JttT2Z5fA/wezgf65zakDT1fSS4Onjo=,gWEZbH/njVDBI/gRTNQHm3JeM6z2T441ySYFejr0h28=,10,1,FALSE,13,4,1,22650,8,FALSE,0,1,easy,junior,0
2019-05-15 17:30:00+00:00,1WtaErryLV3zmv8e0TkfSlVetFKJtJ9WHFG+R3E2Png=,YK8k7vXBGE+Uz9zSJyxXp6OC214bTKKGGTqalD/Zf5I=,5+fQv7Yrl0hYsCld4u2VglMgrXEJVNceLwiB0TjbF7Q=,3,1,TRUE,41,1,0,66133,11,FALSE,0,1,easy,elementary,1
2019-06-06 08:00:00+00:00,qPywwCllenSC+LeP4RxnJEHGRJlgfsllns6a7z/ovVo=,voXzLrgpNaTssnERUsWHe8i5qAk+0Mev4EacAigUwIk=,ExM5MHRlEPbsnDpozGA+K47LyM81Pxtt/uiudRXMBAQ=,9,2,FALSE,8,5,2,44045,17,FALSE,0,1,normal,junior,0
2019-05-16 14:15:00+00:00,0eJx62n1s691RfQa6el3nBDmA2qPFSaxDR8FtLiH8Ig=,jImuGvSym6odgRoYw7vgkq4HUbmJ1tDW9fq6bo/yN5s=,5vZrzPJ1lzVQyo1LUti/1BMWD4RY84Nl0EtT14WfOGM=,3,1,TRUE,20,1,0,65778,2,FALSE,0,1,easy,elementary,0
2019-05-04 21:30:00+00:00,j7Cca0yESFCCMGsByB35vXXQMovxhY0USztIe938Lgo=,uL6KHETQYCoqBED2zQuy+zkxtwJwdoa9myALWa6dHRE=,b+tZWwOHyie4rYaW3lK7dFF7Lr2cI7jy2b1BDBASqMU=,6,1,TRUE,3,1,0,372677,28,TRUE,2,2,easy,elementary,1
2019-05-16 19:30:00+00:00,gPEkiK/mhzgtOEa5XHU2uItMk3DKZIQk8bPEXCcLEuw=,FR4KFXSJBwuu1LqaZRVJs+gv6d7T8mqibchrQhNvAKc=,dSOaQ005jfmmHIx+jtvZG3LF+hxoyAh9EaK+nux0iW8=,25,1,TRUE,7,1,0,167846,62,FALSE,0,1,easy,junior,1
2019-05-14 22:30:00+00:00,5EphPGoxy+XhXbUTccCj1zcPJS47YlM56xaJ9NZngAw=,jYvdVag77CDUNkiDwDLBvSrc4nd+nxa7z/rWC6Iomhs=,wSWNFxvE0AVHVaE+LyFAaNF3HmyjQ4ZVCwObmVJ5pYI=,5,1,TRUE,22,1,0,5100,0,FALSE,0,0,easy,elementary,0
2019-05-03 11:00:00+00:00,IXVP4Wmtr0c1EUrTHuCmdAVpJw/0TK93Gl8OB3dsjYs=,BG5tyd78Q/W+eQU5e5tUTKS14+tiZ6//Zftq7fxiLYE=,pVG5OTOOwtaZp40scSl78TwPxPuggUj9D10WrGbC8Kc=,4,1,TRUE,90,1,0,29334,3,FALSE,0,1,hard,elementary,0
2019-05-08 19:15:00+00:00,Ap2Fiw7rH8y4+t7v0TrgScPZQYjBpfPeYUwrx6yuxQU=,i2BVfTp485wM+aQN1OTMKJr+SQDTDi5fuNDk9dp360g=,pveurSfGItrFcQvhBAqwXNQlZg6/MaZG8xnKmXBDDew=,5,1,TRUE,20,1,0,130902,23,FALSE,0,2,easy,elementary,0
2019-06-09 11:15:00+00:00,PczTF3w1PFscx0XpK/IgX6VZ5C8aiRVqQmD3/wDD7m4=,KvhsJhsUPgRAkELozyZg5wm6g/5PWhrs7XkXvqja6R8=,D7VZX0nIFAqVXVUP/qvj7k7mGRaqoodP3Rigvvw9rsc=,19,2,TRUE,18,1,0,342822,47,FALSE,0,1,easy,elementary,0
2019-05-17 15:30:00+00:00,f/euT//QgQPquOAu4+leXkeHcsRzFLBv/xG907UoCj8=,+g5YlvjiVYzjFfpMkHEGCty7PGcKRuuCVDY/g8dzoD0=,li5V2eQOnjxoLXlXFHwk8HMvW/ulKZzOPDvvp0ZkESM=,8,1,TRUE,78,1,0,1110743,144,TRUE,4,3,hard,elementary,0
2019-06-11 16:15:00+00:00,T41vDw8oo2AJDCk2JvwoTywAjLBrLqmZAuHvX9PXxe4=,ViIxd7sl/Dp2C0nC24swu3Cm5o8UkaEMgyMuUp7pq0g=,Fk/RNMRSHMfnBgAq8/gVSe+hUk+P4xYzUAEUSsHaRMQ=,6,1,FALSE,10,1,2,79750,8,FALSE,0,1,easy,elementary,0
2019-06-09 20:15:00+00:00,ZFd2nTvL7pRkT6cV7EMdvetDZmSh1LSJgo4aq0xCOR8=,TOdFpZ3Xqdh28DnIte6gehxDLIIUkzWMwfqed8sEJwE=,ymqyh++oJp93BAAL0V4s8Mq8+zrmHBkSdLaopb4L2pU=,6,1,TRUE,100,1,0,180530,26,FALSE,0,2,normal,elementary,0
